,token_id,token,anchor_type_tocheck,event_anno_tocheck
40,10-11,discrete,"('0', '0', '0', '0')",0
41,10-12,Heeren,"('0', '0', '0', '0')",0
42,11-1,Qulans,"('0', '0', '0', '0')",0
43,12-1,Tsedert,"('0', '0', '0', '0')",0
44,12-2,onsen,"('0', '0', '0', '0')",0
45,12-3,Jongsten,"('0', '0', '0', '0')",0
46,12-4,hier,"('0', '0', '0', '0')",0
47,12-5,neuens,"('0', '0', '0', '0')",0
48,12-6,in,"('0', '0', '0', '0')",0
49,12-7,copie,"('0', '0', '0', '0')",0
50,12-8,gaende,evokes,Transportation
51,12-9,),"('0', '0', '0', '0')",0
52,12-10,met,"('0', '0', '0', '0')",0
53,12-11,de,"('0', '0', '0', '0')",0
54,12-12,Schepen,"('0', '0', '0', '0')",0
55,12-13,Frederick,"('0', '0', '0', '0')",0
56,12-14,Benrick,"('0', '0', '0', '0')",0
57,12-15,",","('0', '0', '0', '0')",0
58,12-16,Bollandia,"('0', '0', '0', '0')",0
59,12-17,",","('0', '0', '0', '0')",0
60,12-18,Twdapen,"('0', '0', '0', '0')",0
61,12-19,van,"('0', '0', '0', '0')",0
62,12-20,Eelff,"('0', '0', '0', '0')",0
63,12-21,",","('0', '0', '0', '0')",0
64,12-22,s'landts,"('0', '0', '0', '0')",0
65,12-23,hollandia,"('0', '0', '0', '0')",0
66,12-24,ende,"('0', '0', '0', '0')",0
67,12-25,de,"('0', '0', '0', '0')",0
68,12-26,Galias,"('0', '0', '0', '0')",0
69,12-27,den,"('0', '0', '0', '0')",0
70,12-28,12en,"('0', '0', '0', '0')",0
71,12-29,November,"('0', '0', '0', '0')",0
72,12-30,past,"('0', '0', '0', '0')",0
73,12-31,in,"('0', '0', '0', '0')",0
74,12-32,Compe,"('0', '0', '0', '0')",0
75,12-33,van,"('0', '0', '0', '0')",0
76,12-34,Battania-,"('0', '0', '0', '0')",0
78,12-35,gescheijden,"('isOfType', '0', 'isOfType', 'isOfType')",Leaving
79,12-36,",","('0', '0', '0', '0')",0
80,12-37,ende,"('0', '0', '0', '0')",0
81,12-38,den,"('0', '0', '0', '0')",0
82,12-39,15en,"('0', '0', '0', '0')",0
83,12-40,.,"('0', '0', '0', '0')",0
84,12-41,do,"('0', '0', '0', '0')",0
85,12-42,door,"('0', '0', '0', '0')",0
86,12-43,de,"('0', '0', '0', '0')",0
87,12-44,strate,"('0', '0', '0', '0')",0
88,12-45,Sunda,"('0', '0', '0', '0')",0
89,12-46,geraeckt,"(0, 'isOfType', 'isOfType', 'evokes')",Translocation
90,12-47,sijn,"('0', '0', 'isOfType', '0')",0
91,12-48,hier,"('0', '0', '0', '0')",0
92,12-49,Godt,"('0', '0', '0', '0')",0
93,12-50,loff,"('0', '0', '0', '0')",0
94,12-51,den,"('0', '0', '0', '0')",0
95,12-52,17en,"('0', '0', '0', '0')",0
96,12-53,.,"('0', '0', '0', '0')",0
97,12-54,ende,"('0', '0', '0', '0')",0
98,12-55,21e,"('0', '0', '0', '0')",0
99,12-56,.,"('0', '0', '0', '0')",0
100,12-57,l.,"('0', '0', '0', '0')",0
101,12-58,van,"('0', '0', '0', '0')",0
102,12-59,Teijouhan,"('0', '0', '0', '0')",0
103,12-60,ende,"('0', '0', '0', '0')",0
104,12-61,Jappan,"('0', '0', '0', '0')",0
105,12-62,successiue-,"('0', '0', '0', '0')",0
107,12-63,wel,"('0', '0', '0', '0')",0
108,12-64,aengecomen,"('isOfType', 0, 'isOfType', 'isOfType')",Arriving
109,12-65,t'Jacht,"('0', '0', '0', '0')",0
110,12-66,Erabinus,"('0', '0', '0', '0')",0
111,12-67,ende,"('0', '0', '0', '0')",0
112,12-68,t'Schip,"('0', '0', '0', '0')",0
113,12-69,de,"('0', '0', '0', '0')",0
114,12-70,Vreede,"('0', '0', '0', '0')",0
115,12-71,t'samen,"('0', '0', '0', '0')",0
116,12-72,geladen,"('0', '0', '0', '0')",0
117,12-73,met,"('0', '0', '0', '0')",0
118,12-74,840,"('0', 'isOfType', '0', '0')",0
119,12-75,.,"('0', 'isOfType', '0', '0')",0
120,12-76,pica,"('0', 'isOfType', '0', '0')",0
121,12-77,rouwe,"('0', 'isOfType', '0', '0')",0
122,12-78,Chineesche,"('0', 'isOfType', '0', '0')",0
123,12-79,sijde,"('0', 'isOfType', '0', '0')",0
124,12-80,",","('0', 'isOfType', '0', '0')",0
125,12-81,ende,"('0', 'isOfType', '0', '0')",0
126,12-82,332,"('0', 'isOfType', '0', '0')",0
127,12-83,xxi0,"('0', 'isOfType', '0', '0')",0
130,12-84,.,"('0', 'isOfType', '0', '0')",0
131,12-85,copter,"('0', 'isOfType', '0', '0')",0
132,12-86,.,"('0', '0', '0', '0')",0
133,12-87,e.,"('0', '0', '0', '0')",0
134,12-88,e,"('0', '0', '0', '0')",0
135,12-89,e,"('0', '0', '0', '0')",0
136,12-90,Op,"('0', '0', '0', '0')",0
137,12-91,d'aencompete,"('evokes', '0', '0', '0')",0
138,12-92,gemelter,"('0', '0', '0', '0')",0
139,12-93,Schepen,"('0', '0', '0', '0')",0
140,12-94,hebben,"('0', '0', '0', '0')",0
141,12-95,",","('0', '0', '0', '0')",0
142,12-96,dadelijck,"('0', '0', '0', '0')",0
143,12-97,met,"('0', '0', '0', '0')",0
144,12-98,den,"('0', '0', '0', '0')",0
145,12-99,Raedt,"('0', '0', '0', '0')",0
146,12-100,ouerleijdt,isOfType,SocialInteraction
147,12-101,",","('0', '0', '0', '0')",0
148,12-102,off,"('0', '0', '0', '0')",0
149,12-103,niet,"('0', '0', '0', '0')",0
150,12-104,oorbaer,"('0', '0', '0', '0')",0
151,12-105,ende,"('0', '0', '0', '0')",0
152,12-106,raedtsaem,"('0', '0', '0', '0')",0
153,12-107,soude,"('0', '0', '0', '0')",0
154,12-108,wesen,"('0', '0', '0', '0')",0
155,12-109,",","('0', '0', '0', '0')",0
156,12-110,noch,"('0', '0', '0', '0')",0
157,12-111,een,"('0', '0', '0', '0')",0
158,12-112,Schap,"('0', '0', '0', '0')",0
159,12-113,met,"('0', '0', '0', '0')",0
160,12-114,partije,"('0', '0', '0', '0')",0
161,12-115,sijde,"('0', '0', '0', '0')",0
162,12-116,",","('0', '0', '0', '0')",0
163,12-117,beneffens,"('0', '0', '0', '0')",0
164,12-118,de,"('0', '0', '0', '0')",0
165,12-119,becomene,"('0', '0', '0', '0')",0
166,12-120,aduijsen,"('0', '0', '0', '0')",0
167,12-121,van,"('0', '0', '0', '0')",0
168,12-122,Teijouhan,"('0', '0', '0', '0')",0
169,12-123,",","('0', '0', '0', '0')",0
170,12-124,ende,"('0', '0', '0', '0')",0
171,12-125,—,"('0', '0', '0', '0')",0
172,12-126,Japan,"('0', '0', '0', '0')",0
173,12-127,",","('0', '0', '0', '0')",0
174,12-128,opt,"('0', '0', '0', '0')",0
175,12-129,',"('0', '0', '0', '0')",0
176,12-130,spoedichste,"('0', '0', '0', '0')",0
177,12-131,de,"('0', '0', '0', '0')",0
178,12-132,bouen,"('0', '0', '0', '0')",0
179,12-133,gemelte,"('0', '0', '0', '0')",0
180,12-134,Vloote,"('0', '0', '0', '0')",0
181,12-135,nae,"('isOfType', 'isOfType', 'isOfType', '0')",Translocation
182,12-136,te,"('isOfType', 'isOfType', 'isOfType', '0')",Translocation
183,12-137,seijnden,"('isOfType', 'isOfType', 'isOfType', 'isOfType')",Transportation
184,12-138,",","('0', '0', '0', '0')",0
185,12-139,om,"('0', '0', '0', '0')",0
186,12-140,deselue,"('0', '0', '0', '0')",0
187,12-141,noch,"('0', '0', '0', '0')",0
188,12-142,t'sij,"('0', '0', '0', '0')",0
189,12-143,dan,"('0', '0', '0', '0')",0
190,12-144,aende,"('0', '0', '0', '0')",0
191,12-145,Cabo,"('0', '0', '0', '0')",0
192,12-146,ofte,"('0', '0', '0', '0')",0
193,12-147,St.,"('0', '0', '0', '0')",0
194,12-148,Sdelena,"('0', '0', '0', '0')",0
195,12-149,te,"('0', '0', '0', '0')",0
196,12-150,mogen,"('0', '0', '0', '0')",0
197,12-151,beloopen,evokes,Encounter
198,12-152,.,"('0', '0', '0', '0')",0
199,12-153,&,"('0', '0', '0', '0')",0
200,12-154,Waerop,"('0', '0', '0', '0')",0
201,12-155,aen,"('0', '0', '0', '0')",0
202,12-156,d‛een,"('0', '0', '0', '0')",0
203,12-157,sijde,"('0', '0', '0', '0')",0
204,12-158,Ingesien,"('0', '0', '0', '0')",0
205,12-159,sijnde,"('0', '0', '0', '0')",0
206,12-160,",","('0', '0', '0', '0')",0
207,12-161,hoe,"('0', '0', '0', '0')",0
208,12-162,voor,"('0', '0', '0', '0')",0
209,12-163,t'verloop,"('0', '0', '0', '0')",0
210,12-164,vanden,"('0', '0', '0', '0')",0
211,12-165,gelimiteerden,"('0', '0', '0', '0')",0
212,12-166,tijdt,"('0', '0', '0', '0')",0
213,12-167,op,"('0', '0', '0', '0')",0
214,12-168,d'affvaerdinge,isOfType,Leaving
215,12-169,der,"('0', '0', '0', '0')",0
216,12-170,Retour,"('0', '0', '0', '0')",0
217,12-171,Schepen,"('0', '0', '0', '0')",0
218,12-172,naer,"('0', '0', '0', '0')",0
219,12-173,t,"('0', '0', '0', '0')",0
220,12-174,',"('0', '0', '0', '0')",0
221,12-175,Naderslandt,"('0', '0', '0', '0')",0
222,12-176,",","('0', '0', '0', '0')",0
223,12-177,(,"('0', '0', '0', '0')",0
224,12-178,achtervolgende,"('0', '0', '0', '0')",0
225,12-179,V,"('0', '0', '0', '0')",0
226,12-180,Ed,"('0', '0', '0', '0')",0
227,12-181,:,"('0', '0', '0', '0')",0
228,12-182,aduisen,"('0', '0', '0', '0')",0
229,12-183,met,"('0', '0', '0', '0')",0
230,12-184,Bollandia,"('0', '0', '0', '0')",0
231,12-185,Jongst,"('0', '0', '0', '0')",0
232,12-186,van,"('0', '0', '0', '0')",0
233,12-187,daer,"('0', '0', '0', '0')",0
234,12-188,becomen,isOfType; evokes,Getting; Transportation
235,12-189,niet,"('0', '0', '0', '0')",0
236,12-190,wel,"('0', '0', '0', '0')",0
237,12-191,doenlijck,"('0', '0', '0', '0')",0
238,12-192,soude,"('0', '0', '0', '0')",0
239,12-193,sijn,"('0', '0', '0', '0')",0
240,12-194,een,"('0', '0', '0', '0')",0
241,12-195,Schip,"('0', '0', '0', '0')",0
242,12-196,tot,"('0', '0', '0', '0')",0
243,12-197,gemelte,"('0', '0', '0', '0')",0
244,12-198,Voijagie,isOfType,Voyage
245,12-199,seijl,isOfType,Repairing
246,12-200,reedt,"('isOfType', '0', '0', '0')",Repairing
247,12-201,te,"('isOfType', '0', '0', '0')",Repairing
248,12-202,crijgen,"('isOfType', '0', '0', '0')",Repairing
249,12-203,;,"('0', '0', '0', '0')",0
250,12-204,daer,"('0', '0', '0', '0')",0
251,12-205,beneffens,"('0', '0', '0', '0')",0
252,12-206,dat,"('0', '0', '0', '0')",0
253,12-207,Jegenwoordich,"('0', '0', '0', '0')",0
254,12-208,geen,"('0', '0', '0', '0')",0
255,12-209,andere,"('0', '0', '0', '0')",0
256,12-210,RetourSchepen,"('0', '0', '0', '0')",0
258,12-211,bijder,"('0', '0', '0', '0')",0
259,12-212,handt,"('0', '0', '0', '0')",0
260,12-213,hebben,"('0', '0', '0', '0')",0
261,12-214,als,"('0', '0', '0', '0')",0
262,12-215,Vianen,"('0', '0', '0', '0')",0
263,12-216,ende,"('0', '0', '0', '0')",0
264,12-217,t'wapen,"('0', '0', '0', '0')",0
265,12-218,van,"('0', '0', '0', '0')",0
266,12-219,Boorn,"('0', '0', '0', '0')",0
267,12-220,",","('0', '0', '0', '0')",0
268,12-221,alleen,"('0', '0', '0', '0')",0
269,12-222,",","('0', '0', '0', '0')",0
270,12-223,behaluen,"('0', '0', '0', '0')",0
271,12-224,dat,"('0', '0', '0', '0')",0
272,12-225,van,"('0', '0', '0', '0')",0
273,12-226,t'wapens,"('0', '0', '0', '0')",0
274,12-227,suffirante,"('0', '0', '0', '0')",0
275,12-228,tot,"('0', '0', '0', '0')",0
276,12-229,t,"('0', '0', '0', '0')",0
277,12-230,',"('0', '0', '0', '0')",0
278,12-231,Voijagie,"('0', 'isOfType', 'evokes', '0')","('0', 'Voyage', 'Voyage', '0')"
279,12-232,nae,"('0', '0', '0', '0')",0
280,12-233,tvaderblandt,"('0', '0', '0', '0')",0
282,12-234,seer,"('0', '0', '0', '0')",0
283,12-235,getwijffelt,"('0', '0', '0', '0')",0
284,12-236,werdt,"('0', '0', '0', '0')",0
285,12-237,.,"('0', '0', '0', '0')",0
286,12-238,Item,"('0', '0', '0', '0')",0
287,12-239,dat,"('0', '0', '0', '0')",0
288,12-240,Jegenwoordich,"('0', '0', '0', '0')",0
289,12-241,ouer,"('0', '0', '0', '0')",0
290,12-242,Gants,"('0', '0', '0', '0')",0
291,12-243,Jndia,"('0', '0', '0', '0')",0
292,12-244,seer,"('isOfType', '0', '0', '0')",0
293,12-245,schaers,"('isOfType', '0', '0', '0')",0
294,12-246,van,"('0', '0', '0', '0')",0
295,12-247,Varend,"('0', '0', '0', '0')",0
296,12-248,',"('0', '0', '0', '0')",0
297,12-249,volck,"('0', '0', '0', '0')",0
298,12-250,voorsien,evokes,HavingInPossession
299,12-251,",","('0', 'isOfType', '0', '0')",HavingInPossession
300,12-252,sijn,"('0', 'isOfType', '0', '0')",HavingInPossession
301,12-253,.,"('0', '0', '0', '0')",0
302,12-254,Ende,"('0', '0', '0', '0')",0
303,12-255,sal,"('0', '0', '0', '0')",0
304,12-256,men,"('0', '0', '0', '0')",0
305,12-257,d'ordinarij,"('0', '0', '0', '0')",0
306,12-258,handel,"('0', '0', '0', '0')",0
307,12-259,plaetsen,"('0', '0', '0', '0')",0
308,12-260,naer,"('0', '0', '0', '0')",0
309,12-261,behooren,"('0', '0', '0', '0')",0
310,12-262,waernemen,"('0', '0', '0', '0')",0
311,12-263,",","('0', '0', '0', '0')",0
312,12-264,het,"('0', '0', '0', '0')",0
313,12-265,sober,"('0', '0', '0', '0')",0
314,12-266,getal,"('0', '0', '0', '0')",0
315,12-267,vandien,"('0', '0', '0', '0')",0
316,12-268,niet,"('0', '0', '0', '0')",0
317,12-269,meer,"('0', '0', '0', '0')",0
318,12-270,dient,"('0', '0', '0', '0')",0
319,12-271,te,"('0', '0', '0', '0')",0
320,12-272,attenueren,evokes,Decreasing
321,12-273,;,"('0', '0', '0', '0')",0
322,12-274,Noch,"('0', '0', '0', '0')",0
323,12-275,principal,"('0', '0', '0', '0')",0
324,12-276,ende,"('0', '0', '0', '0')",0
325,12-277,bouen,"('0', '0', '0', '0')",0
326,12-278,al,"('0', '0', '0', '0')",0
327,12-279,",","('0', '0', '0', '0')",0
328,12-280,dat,"('0', '0', '0', '0')",0
329,12-281,men,"('0', '0', '0', '0')",0
330,12-282,vreest,"('0', '0', '0', '0')",0
331,12-283,v.,"('0', '0', '0', '0')",0
332,12-284,Ed,"('0', '0', '0', '0')",0
333,12-285,:,"('0', '0', '0', '0')",0
334,12-286,ordre,"('0', '0', '0', '0')",0
335,12-287,van,"('0', '0', '0', '0')",0
336,12-288,ter,"('0', '0', '0', '0')",0
337,12-289,bequamer,"('0', '0', '0', '0')",0
338,12-290,tijt,"('0', '0', '0', '0')",0
339,12-291,op,"('0', '0', '0', '0')",0
340,12-292,onse,"('0', '0', '0', '0')",0
341,12-293,Landen,"('0', '0', '0', '0')",0
342,12-294,comende,"('0', '0', '0', '0')",0
343,12-295,",","('0', '0', '0', '0')",0
344,12-296,achter,"('0', '0', '0', '0')",0
345,12-297,Engelandt,"('0', '0', '0', '0')",0
346,12-298,",","('0', '0', '0', '0')",0
347,12-299,om,"('isOfType', '0', '0', '0')",0
348,12-300,te,"('isOfType', '0', '0', '0')",0
349,12-301,loopen,"('isOfType', '0', '0', '0')",0
350,12-302,",","('0', '0', '0', '0')",0
351,12-303,door,"('0', '0', '0', '0')",0
352,12-304,de,"('0', '0', '0', '0')",0
353,12-305,moetwil,"('0', '0', '0', 'evokes')",0
354,12-306,ende,"('0', '0', '0', 'evokes')",0
355,12-307,rebellije,"('evokes', 'isOfType', '0', 'evokes')",Uprising
356,12-308,van't,"('0', '0', '0', '0')",0
357,12-309,Scheepsvolck,"('0', '0', '0', '0')",0
358,12-310,(,"('0', '0', '0', '0')",0
359,12-311,welck,"('0', '0', '0', '0')",0
360,12-312,gemeenl,"('0', '0', '0', '0')",0
361,12-313,op,"('0', '0', '0', '0')",0
362,12-314,de,"('evokes', '0', '0', '0')",0
363,12-315,thuijs-reijse,"('evokes', '0', 'evokes', '0')","('Voyage', '0', 'Voyage', '0')"
364,12-316,de,"('0', '0', '0', '0')",0
365,12-317,meester,"('0', '0', '0', '0')",0
366,12-318,maeckt,"('0', '0', '0', '0')",0
367,12-319,",","('0', '0', '0', '0')",0
368,12-320,ende,"('0', '0', '0', '0')",0
369,12-321,d'Ouericheijt,"('0', '0', '0', '0')",0
370,12-322,Hetten,"('0', '0', '0', '0')",0
371,12-323,voorschrijft,"('0', '0', '0', '0')",0
372,12-324,niet,"('0', '0', '0', '0')",0
373,12-325,behoorlijck,"('0', '0', '0', '0')",0
374,12-326,achtervolcht,"('0', '0', '0', '0')",0
375,12-327,",","('0', '0', '0', '0')",0
376,12-328,maer,"('0', '0', '0', '0')",0
377,12-329,de,"('0', '0', '0', '0')",0
378,12-330,cours,evokes,Translocation 
379,12-331,recht,"('0', '0', '0', '0')",0
380,12-332,door,"('0', '0', '0', '0')",0
381,12-333,t'Canael,"('0', '0', '0', '0')",0
382,12-334,nae,"('0', '0', '0', '0')",0
383,12-335,Nederlandt,"('0', '0', '0', '0')",0
384,12-336,gestelt,"('0', '0', '0', '0')",0
385,12-337,mocht,"('0', '0', '0', '0')",0
386,12-338,werden,"('0', '0', '0', '0')",0
387,12-339,",","('0', '0', '0', '0')",0
388,12-340,al,"('0', '0', '0', '0')",0
389,12-341,schoon,"('0', '0', '0', '0')",0
390,12-342,het,"('0', '0', '0', '0')",0
391,12-343,tijts,"('0', '0', '0', '0')",0
392,12-344,genouch,"('0', '0', '0', '0')",0
393,12-345,eynam,"('0', '0', '0', '0')",0
394,12-346,om,"('0', '0', '0', '0')",0
395,12-347,achter,"('isOfType', '0', '0', '0')",0
396,12-348,om,"('isOfType', '0', '0', '0')",0
397,12-349,te,"('isOfType', '0', '0', '0')",0
398,12-350,loopen,"('isOfType', '0', '0', '0')",0
399,12-351,.,"('0', '0', '0', '0')",0
400,12-352,In,"('0', '0', '0', '0')",0
401,12-353,voegen,"('0', '0', '0', '0')",0
402,12-354,",","('0', '0', '0', '0')",0
403,12-355,dat,"('0', '0', '0', '0')",0
404,12-356,ons,"('0', '0', '0', '0')",0
405,12-357,om,"('0', '0', '0', '0')",0
406,12-358,voorverhaelde,"('0', '0', '0', '0')",0
407,12-359,consideratien,"('0', '0', '0', '0')",0
408,12-360,eenichsints,"('0', '0', '0', '0')",0
409,12-361,beswaert,"('0', '0', '0', '0')",0
410,12-362,woirden,"('0', '0', '0', '0')",0
411,12-363,de,"('0', '0', '0', '0')",0
412,12-364,syde,"('0', '0', '0', '0')",0
413,12-365,dus,"('0', '0', '0', '0')",0
414,12-366,laet,"('0', '0', '0', '0')",0
415,12-367,met,"('0', '0', '0', '0')",0
416,12-368,een,"('0', '0', '0', '0')",0
417,12-369,Schip,"('0', '0', '0', '0')",0
418,12-370,ouer,"(0, 'isOfType', '0', '0')","('Transportation', 'Transportation', '0', '0')"
419,12-371,teseijnden,"(0, 'isOfType', 'isOfType', '0')",Transportation
420,12-372,.,"('0', '0', '0', '0')",0
421,12-373,Doch,"('0', '0', '0', '0')",0
422,12-374,aen,"('0', '0', '0', '0')",0
423,12-375,d'ander,"('0', '0', '0', '0')",0
424,12-376,sijde,"('0', '0', '0', '0')",0
425,12-377,ouerwogen,"('0', '0', '0', '0')",0
426,12-378,",","('0', '0', '0', '0')",0
427,12-379,soo,"('0', '0', '0', '0')",0
428,12-380,noodich,"('0', '0', '0', '0')",0
429,12-381,het,"('0', '0', '0', '0')",0
430,12-382,sij,"('0', '0', '0', '0')",0
431,12-383,V,"('0', '0', '0', '0')",0
432,12-384,Ed,"('0', '0', '0', '0')",0
433,12-385,:,"('0', '0', '0', '0')",0
434,12-386,tegen,"('0', '0', '0', '0')",0
435,12-387,haere,"('0', '0', '0', '0')",0
436,12-388,Excessiue,"('0', '0', '0', '0')",0
437,12-389,lasten,"('0', '0', '0', '0')",0
438,12-390,",","('0', '0', '0', '0')",0
439,12-391,met,"('0', '0', '0', '0')",0
440,12-392,soulagenbele,"('0', '0', '0', '0')",0
441,12-393,—,"('0', '0', '0', '0')",0
442,12-394,Recouren,"('0', '0', '0', '0')",0
443,12-395,",","('0', '0', '0', '0')",0
444,12-396,soo,"('0', '0', '0', '0')",0
445,12-397,veel,"('0', '0', '0', '0')",0
446,12-398,mogelijck,"('0', '0', '0', '0')",0
447,12-399,verlicht,"('0', '0', '0', '0')",0
448,12-400,werden,"('0', '0', '0', '0')",0
449,12-401,",","('0', '0', '0', '0')",0
450,12-402,gelijck,"('0', '0', '0', '0')",0
451,12-403,mede,"('0', '0', '0', '0')",0
452,12-404,dat,"('0', '0', '0', '0')",0
453,12-405,het,"('0', '0', '0', '0')",0
454,12-406,U,"('0', '0', '0', '0')",0
455,12-407,Ed,"('0', '0', '0', '0')",0
456,12-408,:,"('0', '0', '0', '0')",0
457,12-409,animeren,"('0', '0', '0', '0')",0
458,12-410,sal,"('0', '0', '0', '0')",0
459,12-411,omme,"('0', '0', '0', '0')",0
460,12-412,de,"('0', '0', '0', '0')",0
461,12-413,requisite,"('0', '0', '0', '0')",0
462,12-414,capitalen,"('0', '0', '0', '0')",0
463,12-415,",","('0', '0', '0', '0')",0
464,12-416,tot,"('0', '0', '0', '0')",0
465,12-417,Vigorenter,"('0', '0', '0', '0')",0
466,12-418,vervolch,"('0', '0', '0', '0')",0
467,12-419,vandien,"('0', '0', '0', '0')",0
468,12-420,aduantagieusen,"('0', '0', '0', '0')",0
469,12-421,handel,"('0', '0', '0', '0')",0
470,12-422,int,"('0', '0', '0', '0')",0
471,12-423,',"('0', '0', '0', '0')",0
472,12-424,aenstaende,"('0', '0', '0', '0')",0
473,12-425,des,"('0', '0', '0', '0')",0
474,12-426,t'onbecrompener,"('0', '0', '0', '0')",0
475,12-427,te,"('0', '0', '0', '0')",0
476,12-428,fourneren,"('0', '0', 'isOfType', '0')",0
477,12-429,",","('0', '0', '0', '0')",0
478,12-430,hebben,"('0', '0', '0', '0')",0
479,12-431,euenwel,"('0', '0', '0', '0')",0
480,12-432,goedt,"('0', '0', '0', '0')",0
481,12-433,gevonden,"('0', '0', '0', '0')",0
482,12-434,",","('0', '0', '0', '0')",0
483,12-435,t'Schip,"('0', '0', '0', '0')",0
484,12-436,Vranen,"('0', '0', '0', '0')",0
485,12-437,opt,"('0', '0', '0', '0')",0
486,12-438,',"('0', '0', '0', '0')",0
487,12-439,spoedichste,"('0', '0', '0', '0')",0
488,12-440,met,"('0', '0', '0', '0')",0
489,12-441,384½.,"('0', '0', '0', '0')",0
491,12-442,Nicol,"('0', '0', '0', '0')",0
492,12-443,sijde,"('0', '0', '0', '0')",0
493,12-444,1,"('0', '0', '0', '0')",0
494,12-445,331,"('0', '0', '0', '0')",0
495,12-446,...,"('0', '0', '0', '0')",0
497,12-447,r.,"('0', '0', '0', '0')",0
498,12-448,d,"('0', '0', '0', '0')",0
499,12-449,=,"('0', '0', '0', '0')",0
500,12-450,o.,"('0', '0', '0', '0')",0
501,12-451,cooper,"('0', '0', '0', '0')",0
502,12-452,7972,"('0', '0', '0', '0')",0
503,12-453,...,"('0', '0', '0', '0')",0
504,12-454,Sacken,"('0', '0', '0', '0')",0
505,12-455,",","('0', '0', '0', '0')",0
506,12-456,perper,"('0', '0', '0', '0')",0
507,12-457,20,"('0', '0', '0', '0')",0
508,12-458,6,"('0', '0', '0', '0')",0
509,12-459,1,"('0', '0', '0', '0')",0
510,12-460,8,"('0', '0', '0', '0')",0
511,12-461,..,"('0', '0', '0', '0')",0
513,12-462,lb,"('0', '0', '0', '0')",0
514,12-463,.,"('0', '0', '0', '0')",0
515,12-464,Salpeter,"('0', '0', '0', '0')",0
516,12-465,:,"('0', '0', '0', '0')",0
517,12-466,beneffens,"('0', '0', '0', '0')",0
518,12-467,de,"('0', '0', '0', '0')",0
519,12-468,noodige,"('0', '0', '0', '0')",0
520,12-469,aduisen,"('0', '0', '0', '0')",0
521,12-470,",","('0', '0', '0', '0')",0
522,12-471,ende,"('0', '0', '0', '0')",0
523,12-472,bescheijden,"('0', '0', '0', '0')",0
524,12-473,aff,"('isOfType', 'isOfType', 'isOfType', 'isOfType')",Transportation
525,12-474,te,"('isOfType', 'isOfType', 'isOfType', 'isOfType')",Transportation
526,12-475,vaerdigen,"('isOfType', 'isOfType', 'isOfType', 'isOfType')",Transportation
527,12-476,.,"('0', '0', '0', '0')",0
528,12-477,Almogende,"('0', '0', '0', '0')",0
529,12-478,gelieue,"('0', '0', '0', '0')",0
530,12-479,UEd,"('0', '0', '0', '0')",0
531,12-480,:,"('0', '0', '0', '0')",0
532,12-481,e,"('0', '0', '0', '0')",0
533,12-482,dit,"('0', '0', '0', '0')",0
534,12-483,ende,"('0', '0', '0', '0')",0
535,12-484,de,"('0', '0', '0', '0')",0
536,12-485,vooraffgebondene,"('0', '0', '0', '0')",0
537,12-486,Schepen,"('0', '0', '0', '0')",0
538,12-487,in,"('0', '0', '0', '0')",0
539,12-488,salko,"('0', '0', '0', '0')",0
540,12-489,te,"('0', '0', '0', '0')",0
541,12-490,laten,"('0', '0', '0', '0')",0
