token;token_id;anchor_type;event_anno;event_resolve1;event_resolve2;event_resolve3;anchor_resolve;event_resolve4;final_anchor;final_event
Sunda;12-45;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
geraeckt;12-46;('isOfType', 'isOfType', 'isOfType', 'evokes');('BeingAtAPlace', 'BeingAtAPlace', 'TransLocation', 'TransLocation');('BeingAtAPlace', 'BeingAtAPlace', 'TransLocation', 'TransLocation');('BeingAtAPlace', 'BeingAtAPlace', 'TransLocation', 'TransLocation');BeingAtAPlace;('isOfType', 'isOfType', 'isOfType', 'evokes');BeingAtAPlace;('isOfType', 'isOfType', 'isOfType', 'evokes');BeingAtAPlace
sijn;12-47;('0', '0', 'isOfType', '0');('0', '0', 'TransLocation', '0');0;0;0;('0', '0', 'isOfType', '0');0;isOfType;BeingAtAPlace
hier;12-48;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Godt;12-49;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
loff;12-50;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
den;12-51;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
17en;12-52;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
.;12-53;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ende;12-54;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
21e;12-55;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
.;12-56;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
l.;12-57;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
van;12-58;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Teijouhan;12-59;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ende;12-60;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Jappan;12-61;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
successiue-;12-62;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
wel;12-63;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
aengecomen;12-64;(0, 0, 'isOfType', 'isOfType');('Arriving', 'Arriving', 'Arriving', 'Arriving');Arriving;Arriving;Arriving;(0, 0, 'isOfType', 'isOfType');Arriving;isOfType;Arriving
t'Jacht;12-65;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Erabinus;12-66;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ende;12-67;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
t'Schip;12-68;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
de;12-69;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Vreede;12-70;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
t'samen;12-71;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
geladen;12-72;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
met;12-73;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
840;12-74;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
.;12-75;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
pica;12-76;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
rouwe;12-77;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
Chineesche;12-78;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
sijde;12-79;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
,;12-80;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
ende;12-81;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
332;12-82;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
xxi0;12-83;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
.;12-84;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
copter;12-85;('isOfType', 'isOfType', '0', '0');('0', '0', '0', '0');0;0;0;('isOfType', 'isOfType', '0', '0');0;0;0
.;12-86;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
e.;12-87;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
e;12-88;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
e;12-89;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Op;12-90;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
d'aencompete;12-91;('0', '0', '0', '0');('Transportation', 'Transportation', 'Arriving', 'Arriving');('Transportation', 'Transportation', 'Arriving', 'Arriving');Translocation;Translocation;0;Translocation;0;Translocation
gemelter;12-92;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Schepen;12-93;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
hebben;12-94;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-95;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
dadelijck;12-96;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
met;12-97;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
den;12-98;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Raedt;12-99;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ouerleijdt;12-100;('0', '0', '0', 'isOfType');('0', '0', '0', 'SocialInteraction');0;0;0;isOfType;SocialInteraction;isOfType;SocialInteraction
,;12-101;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
off;12-102;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
niet;12-103;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
oorbaer;12-104;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ende;12-105;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
raedtsaem;12-106;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
soude;12-107;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
wesen;12-108;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-109;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
noch;12-110;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
een;12-111;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Schap;12-112;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
met;12-113;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
partije;12-114;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
sijde;12-115;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-116;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
beneffens;12-117;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
de;12-118;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
becomene;12-119;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
aduijsen;12-120;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
van;12-121;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Teijouhan;12-122;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-123;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ende;12-124;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
—;12-125;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Japan;12-126;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-127;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
opt;12-128;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
';12-129;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
spoedichste;12-130;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
de;12-131;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
bouen;12-132;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
gemelte;12-133;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Vloote;12-134;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
nae;12-135;('isOfType', 'isOfType', 'isOfType', '0');('Voyage', 'Voyage', 'Transportation', '0');('Voyage', 'Voyage', 'Transportation', '0');Translocation;Translocation;('isOfType', 'isOfType', 'isOfType', '0');Translocation;evokes;Translocation
te;12-136;('isOfType', 'isOfType', 'isOfType', '0');('Voyage', 'Voyage', 'Transportation', '0');('Voyage', 'Voyage', 'Transportation', '0');Translocation;Translocation;('isOfType', 'isOfType', 'isOfType', '0');Translocation;evokes;Translocation
seijnden;12-137;('isOfType', 'isOfType', 'isOfType', 'isOfType');('Voyage', 'Voyage', 'Transportation', 'Transportation');('Voyage', 'Voyage', 'Transportation', 'Transportation');Translocation;Translocation;('isOfType', 'isOfType', 'isOfType', 'isOfType');Translocation;evokes;Translocation
,;12-138;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
om;12-139;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
deselue;12-140;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
noch;12-141;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
t'sij;12-142;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
dan;12-143;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
aende;12-144;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Cabo;12-145;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ofte;12-146;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
St.;12-147;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Sdelena;12-148;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
te;12-149;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
mogen;12-150;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
beloopen;12-151;('0', '0', 'isOfType', '0');('Arriving', 'Arriving', 'TransLocation', 'Encounter');('Arriving', 'Arriving', 'TransLocation', 'Encounter');Translocation;Translocation;evokes;Encounter;evokes;Encounter
.;12-152;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
&;12-153;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Waerop;12-154;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
aen;12-155;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
d‛een;12-156;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
sijde;12-157;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Ingesien;12-158;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
sijnde;12-159;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-160;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
hoe;12-161;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
voor;12-162;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
t'verloop;12-163;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
vanden;12-164;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
gelimiteerden;12-165;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
tijdt;12-166;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
op;12-167;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
d'affvaerdinge;12-168;('isOfType', 'isOfType', '0', '0');('Leaving', 'Leaving', 'Leaving', '0');Leaving;Leaving;Leaving;isOfType;Leaving;isOfType;Leaving
der;12-169;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Retour;12-170;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Schepen;12-171;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
naer;12-172;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
t;12-173;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
';12-174;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Naderslandt;12-175;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-176;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
(;12-177;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
achtervolgende;12-178;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
V;12-179;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Ed;12-180;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
:;12-181;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
aduisen;12-182;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
met;12-183;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Bollandia;12-184;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Jongst;12-185;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
van;12-186;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
daer;12-187;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
becomen;12-188;('isOfType', 'isOfType', '0', '0');('Getting', 'Getting', 'Arriving', 'Getting');Getting;Getting;Getting;"isOfType; evokes";"Getting; Transportation";"isOfType; evokes";"Getting; Transportation"
niet;12-189;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
wel;12-190;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
doenlijck;12-191;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
soude;12-192;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
sijn;12-193;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
een;12-194;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Schip;12-195;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
tot;12-196;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
gemelte;12-197;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Voijagie;12-198;('isOfType', 'isOfType', 'evokes', '0');('Voyage', 'Voyage', 'Voyage', 'Voyage');Voyage;Voyage;Voyage;isOfType;Voyage;isOfType;Voyage
seijl;12-199;('0', '0', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');isOfType;Repairing;isOfType;Repairing
reedt;12-200;('0', '0', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');isOfType;Repairing;isOfType;Repairing
te;12-201;('0', '0', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');isOfType;Repairing;isOfType;Repairing
crijgen;12-202;('0', '0', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');('Repairing', 'Repairing', '0', '0');isOfType;Repairing;isOfType;Repairing
";";12-203;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
daer;12-204;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
beneffens;12-205;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
dat;12-206;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Jegenwoordich;12-207;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
geen;12-208;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
andere;12-209;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
RetourSchepen;12-210;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
bijder;12-211;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
handt;12-212;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
hebben;12-213;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
als;12-214;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Vianen;12-215;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
ende;12-216;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
t'wapen;12-217;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
van;12-218;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
Boorn;12-219;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-220;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
alleen;12-221;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
,;12-222;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
behaluen;12-223;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
dat;12-224;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
van;12-225;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
t'wapens;12-226;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
suffirante;12-227;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
tot;12-228;('0', '0', '0', '0');('0', '0', '0', '0');0;0;0;0;0;0;0
